Id	TCGA-2V-A95S-01A-11R-A37K-07_LIHC_TP	TCGA-2Y-A9GS-01A-12R-A38B-07_LIHC_TP	TCGA-2Y-A9GU-01A-11R-A38B-07_LIHC_TP	TCGA-BC-A10Q-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10T-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10W-11A-11R-A131-07_LIHC_NT	TCGA-3C-AAAU-01A-11R-A41B-07_BRCA_TP	TCGA-3C-AALJ-01A-31R-A41B-07_BRCA_TP	TCGA-3C-AALK-01A-11R-A41B-07_BRCA_TP	TCGA-A7-A0CE-11A-21R-A089-07_BRCA_NT	TCGA-A7-A0CH-11A-32R-A089-07_BRCA_NT	TCGA-A7-A0D9-11A-53R-A089-07_BRCA_NT
class	LIHC_TP	LIHC_TP	LIHC_TP	LIHC_NT	LIHC_NT	LIHC_NT	BRCA_TP	BRCA_TP	BRCA_TP	BRCA_NT	BRCA_NT	BRCA_NT
a100130426	0	0	0	0	0	0	0	0.9066	0	0	0	0
a100133144	2.31	53.59	6.86	2	1.41	4.94	16.3644	11.6228	12.0894	4.3333	4.2087	3.055
a100134869	5.69	5.41	6.14	0	2.59	1.06	12.9316	9.2294	11.0799	3.9206	2.1852	0
a10357	138.3	144.07	73.93	103.92	96.89	97.03	52.1503	154.2974	143.8643	78.9238	53.638	87.5764
a10431	1561	1297	1423	1454	1125	2128	408.076	1360.8341	865.5358	978.4127	970.7569	770.3666
a136542	0	0	0	0	0	0	0	0	0	0	0	0
a155060	217	249	336	32	7	63	1187.005	592.0218	552.7513	219.0476	136.1542	109.9796
a26823	1	3	1	0	0	0	0	0	0.4137	0.9524	0	0
a280660	0	0	0	0	0	0	0	0	0	0	0	0
a317712	0	0	0	0	0	0	0	0	0	0	0	0
a340602	0	21	0	0	0	0	1.7233	0	0	1.9048	0	0
a388795	3	0	0	0	0	0	0.3447	2.7199	2.0687	0.6349	0	0
a390284	6	4	5	5	11	3	4.1359	2.7199	4.5511	6.3492	10.9074	4.0733
a391343	0	3	0	0	0	0	0	0	0	0	0	0
a391714	1	0	3	0	0	0	0.6893	0	0	0.3175	0.3761	0.5092
a404770	0	0	0	0	0	0	0	0	0	0	0	0
a441362	0	0	0	0	0	0	0	0	0	0	0	0
a442388	0	0	0	0	0	0	0	0	0	0	0	0
a553137	138	683	57	131	91	218	3.7912	0.9066	0	8.8889	2.6328	0
a57714	700	1815	240	143	57	79	820.9773	391.6591	458.0058	243.1746	178.6554	816.7006
a645851	2	40	12	0	1	1	124.4218	34.4515	15.722	6.9841	10.1551	4.5825
a652919	0	0	1	5	0	0	25.8494	0	0	0	0	2.5458
a653553	1215	1089	402	201	237	351	289.5134	1100.6346	406.2888	170.4762	318.9469	102.3422
a728045	0	0	0	0	0	0	0	0	0	0	0	0
a728603	0	0	0	0	0	0	0	0	0	0	0	0
a728788	0	2	0	3	0	0	0	0.9066	1.2412	0	0	0
a729884	0	0	0	1	1	0	109.6015	0	34.7538	9.2063	66.9488	18.8391
a8225	1973	2600	894	634	584	873	458.3962	657.2983	786.5122	608.5714	663.4697	465.8859
a90288	31	56	7	31	13	30	40.6697	22.6655	54.1994	55.873	42.5012	44.2974
A1BG|1	34197.7	45940.47	11176.18	124518.23	68949.58	100619.73	197.0897	423.2366	191.0178	154.473	109.3484	15.7841
A1CF|29974	895	3191	1501	2969	1964	2824	0	0.9066	0	0.6349	0	0
A2BP1|54715	0	5	0	0	0	0	0	0	0	0.6349	3.7612	0.5092
A2LD1|87769	575.3	200.11	3492.56	427.02	228.29	320.22	102.9634	161.2602	62.5072	119.581	111.9699	105.5041
A2ML1|144568	0	0	2	3	0	1	1.3786	0	1.6549	16.8254	19.5581	22.9124
A2M|2	439428.37	63240.79	292445.68	118972.53	211710.65	134129.62	5798.3746	8840.3989	10960.2193	40198.2063	32634.9299	44700.9521
A4GALT|53947	123	330	86	68	156	108	68.2424	573.8894	506.4129	627.3016	924.1185	542.7699
A4GNT|51146	833	4	0	1	6	1	8.6165	0	0	1.9048	0.3761	19.3483
AAA1|404744	1	1	0	0	0	0	0.3447	0	0	0	0.3761	0
AAAS|8086	1583	1831	865	670	499	738	649.3372	723.4814	776.9963	780	815.7969	595.723
AACSL|729522	0	0	0	0	0	0	1.3786	2.7199	0	1.2698	0	0
AACS|65985	855	873	846	166	122	254	1087.3986	1533.0916	858.0885	1132.0635	2177.7151	710.7943
AADACL2|344752	0	0	0	0	0	0	0	0	0	1.2698	5.6417	7.6375
AADACL3|126767	0	1	0	0	0	0	0	1.8132	0	5.0794	34.9788	6.11
AADACL4|343066	0	0	0	1	0	0	0	0	0	0	1.5045	0
AADAC|13	2093	21030	8130	12209	9501	14665	0	0.9066	2.8962	19.6825	101.9276	619.1446
AADAT|51166	38	316	43	1769	1000	1174	5.5145	53.4905	57.0956	58.7302	250.8698	78.9206
AAGAB|79719	1639	2146	472	546	520	705	1300.3977	1360.8341	1683.4919	1448.8889	1077.9502	673.6253
AAK1|22848	1058	1098	1879	448	352	563	517.3329	568.4497	727.7617	966.9841	828.5849	1032.0774
