ID	TCGA_DD_A1EC_01A	TCGA_ES_A2HT_01A	TCGA_DD_A3A8_01A	TCGA_DD_A1EL_01A	TCGA_DD_A3A3_01A	TCGA_EP_A3RK_01A	TCGA_DD_A11D_01A	TCGA_DD_A39X_01A	TCGA_DD_A11C_01A	TCGA_DD_A11B_01A	TCGA_DD_A1EG_01A	TCGA_BD_A3EP_01A	TCGA_DD_A114_01A	TCGA_DD_A116_01A	TCGA_DD_A1EI_01A	TCGA_BC_A10R_01A	TCGA_BC_A10U_01A	TCGA_G3_A3CH_01A	TCGA_BD_A2L6_01A	TCGA_DD_A3A5_01A	TCGA_BC_A10W_01A	TCGA_DD_A113_01A	TCGA_DD_A11A_01A	TCGA_BC_A10X_01A	TCGA_BC_A10Z_01A	TCGA_BC_A216_01A	TCGA_DD_A119_01A	TCGA_BC_A10Y_01A	TCGA_DD_A1EJ_01A	TCGA_DD_A118_01A	TCGA_DD_A1EH_01A	TCGA_BC_A10T_01A	TCGA_BC_A110_01A	TCGA_EP_A12J_01A	TCGA_EP_A26S_01A	TCGA_FV_A23B_01A	TCGA_DD_A39V_01A	TCGA_DD_A39W_01A	TCGA_DD_A3A2_01A	TCGA_FV_A2QR_01A	TCGA_DD_A3A4_01A	TCGA_FV_A3I1_01A
a100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a100133144	9.2	0	2	8	3.15	3.31	2.26	3.75	11.18	12.91	10.34	4.57	0	0	0	0	13.21	3	3.57	3.13	15.07	15.06	0	1.33	3.58	10	1.79	20.12	33.47	7.28	21.72	23.67	0	14.61	11.42	48.06	3.96	1.67	4.23	0	0	7.73
a100134869	8.8	3	0	5	1.85	8.69	3.74	6.25	10.82	4.09	2.66	3.43	2	3	12	11	8.79	0	1.43	1.87	8.93	3.94	26	3.67	4.42	0	2.21	7.88	16.53	8.72	19.28	12.33	3	9.39	1.58	67.94	2.04	3.33	5.77	0	7	13.27
a10357	144	104.55	196.73	614.74	54.87	160.63	69.86	225.26	167.17	229.61	383.12	191.92	218.93	70.79	181.74	172.29	160.45	153.84	420.91	141.93	324.71	130.71	170.17	225.54	231.89	324.96	90.74	369.28	296.27	64	326.15	214.55	65.9	180.51	286.78	303.27	126.07	216.06	128.6	224.42	116.57	155.17
a10431	2545	2044	1579	4455	1069	2219	762	2707	1348	1975	2180	1168	920	3845	2375	2174	2234	1434	2682	2109	3084	2415	2141	2202	2937	1938	2472	2020	3786	2611	2323	3161	1205	1499	1545	1572	1354	1626	1635	1937	1873	1658
a136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a155060	253	54	161	437	113	107	36	98	39	73	215	138	24	60	76	303	563	242	85	24	296	448	52	62	484	556	141	197	296	116	230	344	59	100	202	725	200	42	214	54	72	224
a26823	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0
a280660	0	0	0	0	0	0	0	0	3	0	19	9	0	0	0	0	5	0	0	0	0	0	13	0	1	0	0	1	0	0	0	2	0	0	0	0	1	0	0	10	0	4
a317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a340602	0	0	0	4	0	1	1	0	2	0	6	42	0	0	1	0	16	0	0	4	0	0	0	0	8	4	0	50	209	0	0	5	1	0	1	0	0	0	0	0	0	43
a388795	2	0	0	7	3	1	0	2	3	0	0	5	0	1	2	2	2	0	2	0	1	5	0	0	1	2	3	8	1	0	0	0	0	1	2	4	1	1	3	0	0	8
a390284	6	7	9	29	4	9	5	21	13	13	21	4	2	6	36	11	6	12	19	6	7	10	7	15	13	16	5	11	26	15	17	15	1	8	9	11	7	12	5	11	5	8
a391343	1	0	0	0	0	4	1	0	0	1	0	0	2	0	0	5	0	0	3	10	0	0	0	0	5	1	0	0	0	0	0	5	0	0	3	0	0	0	1	12	0	3
a391714	0	0	1	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	2	0	0	0
a404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a553137	0	1	15	67	54	98	39	1	37	6	307	7	89	28	604	551	39	264	536	329	223	14	205	495	53	230	2	437	1221	5	341	222	25	237	199	4	4	45	0	3	287	488
a57714	2337	54	72	805	76	216	520	79	1188	816	471	495	1931	106	468	124	521	426	189	265	4814	1537	2831	457	1385	650	53	621	875	597	1513	1188	62	992	535	559	64	477	210	519	202	1890
a645851	3	0	0	9	0	1	1	0	7	8	9	10	3	0	21	1	8	3	2	1	12	23	17	3	20	10	0	12	19	3	10	14	1	2	5	9	0	5	7	5	0	13
a652919	15	0	0	0	0	0	0	0	3	10.39	0	0	42.84	0	0	0	0	3	0	0	59.96	1.15	55.23	0	127.37	30.26	0	2	0	0	81.55	37	0	0	28	0	0	0	0	0	0	0
a653553	340	1309	510	1274	1235	1222	333	2198	893	159	2002	708	387	1772	1326	623	547	571	842	1100	1172	1097	1349	321	159	649	1420	713	1919	1181	891	803	205	591	595	465	3389	748	144	816	21	1056
a728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a728603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
a728788	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	2	1	2	0	0	2	2	4	0	0	0	2	2	0	0	0	0	0	0
a729884	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0
