BKCM1	BKF01	BKF02	BKF03	BKF13	BKF14	BKF15
OTU_1	0	411	406	417	64	463
OTU_2	122	470	394	299	232	534
OTU_3	33	310	178	384	266	471
OTU_4	115	313	389	346	268	460
OTU_5	0	167	275	207	143	277
OTU_6	8	197	297	122	40	234
OTU_7	0	176	307	210	123	211
OTU_8	0	158	261	245	148	249
OTU_9	204	157	0	185	82	218
OTU_10	75	0	0	0	0	0
OTU_11	60	0	0	111	62	170
OTU_12	0	151	160	125	64	238
OTU_13	0	85	68	102	49	111
OTU_14	79	225	213	165	114	273
OTU_15	35	0	0	169	76	351
OTU_16	76	62	97	43	11	190
OTU_17	72	199	220	60	12	211
OTU_18	9	165	97	120	80	153
OTU_19	32	0	0	118	83	126
OTU_20	34	105	122	94	0	0
OTU_21	0	0	0	166	122	254
OTU_22	29	90	128	0	0	0
OTU_23	19	103	23	10	0	50
OTU_24	24	0	0	0	0	0
OTU_25	99	77	69	0	0	0
OTU_26	0	57	53	0	0	0
OTU_27	0	75	38	27	17	51
OTU_28	35	0	0	0	0	0
OTU_29	70	36	34	73	0	10
OTU_30	0	0	0	86	5	19
OTU_31	0	0	0	0	0	0
OTU_32	15	56	40	0	30	16
OTU_33	0	34	36	68	0	16
OTU_34	36	17	0	0	0	0
OTU_35	0	0	0	18	5	30
OTU_36	19	71	46	0	0	0
OTU_37	18	69	165	0	0	0
OTU_38	65	29	0	0	39	534
OTU_39	47	34	30	0	27	199
OTU_40	20	49	43	101	58	117
OTU_41	25	0	19	35	47	60
OTU_42	19	98	43	49	70	80
OTU_43	0	67	26	22	8	72
OTU_44	80	51	74	80	56	125
OTU_45	4	157	83	0	0	0
OTU_46	34	27	16	0	0	63
OTU_47	64	0	10	45	32	59
OTU_48	14	59	47	0	0	0
OTU_49	0	39	47	195	163	226
OTU_50	14	31	43	63	0	0
OTU_51	15	9	2	17	0	27
OTU_52	60	0	32	0	11	52
OTU_53	0	0	0	63	14	55
OTU_54	0	0	0	0	0	0
OTU_55	0	83	191	0	0	21
OTU_56	22	55	67	0	31	298
OTU_57	0	108	47	31	0	59
OTU_58	14	23	3	19	0	31
OTU_59	14	0	12	123	93	122
OTU_60	0	0	35	63	0	35
OTU_61	30	0	0	51	34	47
OTU_62	0	0	0	0	0	0
OTU_63	24	0	11	0	0	0
OTU_64	0	0	0	61	0	0
OTU_65	0	48	173	0	0	0
OTU_66	33	27	0	14	26	59
OTU_67	0	0	0	0	0	0
OTU_68	15	24	15	0	0	0
OTU_69	27	10	17	0	0	0
OTU_70	14	18	0	0	0	0
OTU_71	0	21	34	0	0	32
OTU_72	14	21	44	0	0	0
OTU_73	0	0	29	9	8	22
OTU_74	0	87	17	0	0	0
OTU_75	9	71	82	0	0	0
OTU_76	52	0	0	63	0	150
OTU_77	0	39	35	24	12	13
OTU_78	0	0	0	0	0	65
OTU_79	6	30	22	61	33	31
OTU_80	83	0	0	0	0	20
OTU_81	39	0	0	0	0	0
OTU_82	81	0	0	35	10	25
OTU_83	17	0	12	24	10	120
OTU_84	0	27	27	0	37	20
OTU_85	53	0	0	18	30	39
OTU_86	63	0	0	31	9	56
OTU_87	27	39	46	5	13	19
OTU_88	0	0	0	27	13	53
OTU_89	16	55	38	10	0	43
OTU_90	0	0	0	19	0	84
OTU_91	0	29	25	0	0	42
OTU_92	13	0	7	40	28	56
OTU_93	47	0	0	46	60	59
OTU_94	0	5	6	0	87	130
OTU_95	0	0	109	19	7	24
OTU_96	15	15	0	10	4	27
OTU_97	20	36	0	0	0	0
OTU_98	0	19	13	15	0	19
OTU_99	17	0	0	25	0	79
OTU_100	34	0	0	0	0	0
OTU_101	0	0	0	0	0	0
OTU_102	0	0	0	0	0	0
OTU_103	0	0	0	0	0	0
OTU_104	0	9	0	0	0	0
OTU_105	0	19	51	0	0	0
OTU_106	6	34	29	28	0	24
OTU_107	42	0	0	17	0	30
OTU_108	7	16	23	0	0	0
OTU_109	0	27	95	4	0	6
OTU_110	0	0	0	0	0	0
OTU_111	16	0	30	0	0	0
OTU_112	0	0	0	0	0	68
OTU_113	9	0	0	0	0	0
OTU_114	16	4	0	0	0	0
OTU_115	0	12	0	27	0	58
OTU_116	16	0	15	0	0	0
OTU_117	0	0	0	12	0	8
OTU_118	0	20	10	21	18	44
OTU_119	0	0	0	56	9	55
OTU_120	0	0	0	7	0	21
OTU_121	0	31	0	0	0	21
OTU_122	0	0	0	0	0	0
OTU_123	0	0	17	0	0	0
OTU_124	0	0	0	28	0	32
OTU_125	0	16	8	0	0	0
OTU_126	0	56	15	0	0	0
OTU_127	0	0	0	12	0	51
OTU_128	0	50	37	17	0	33
OTU_129	0	0	0	51	31	61
OTU_130	27	0	0	0	0	0
OTU_131	7	13	8	0	30	0
OTU_132	0	179	14	62	0	76
OTU_133	0	0	0	32	0	34
OTU_134	0	0	14	0	0	7
OTU_135	0	0	0	27	33	23
OTU_136	0	26	31	0	0	0
OTU_137	0	0	0	0	0	0
OTU_138	0	0	0	14	0	34
OTU_139	0	0	43	0	0	170
OTU_140	8	9	0	0	0	0
OTU_141	0	0	5	0	0	29
OTU_142	16	0	0	0	0	57
OTU_143	0	0	0	12	0	26
OTU_144	15	8	0	0	0	32
OTU_145	0	5	14	0	0	0
OTU_146	43	0	0	23	0	34
OTU_147	0	0	17	0	0	0
OTU_148	0	21	33	0	0	0
OTU_149	0	0	0	0	0	0
OTU_150	0	0	0	30	0	25
OTU_151	0	0	10	12	0	20
OTU_152	0	0	35	0	0	20
OTU_153	67	0	0	14	0	15
OTU_154	0	6	13	0	0	0
OTU_155	0	0	0	18	0	15
OTU_156	0	12	0	2	0	0
OTU_157	0	37	0	0	0	59
OTU_158	0	0	0	0	0	0
OTU_159	0	0	0	10	0	0
OTU_160	0	0	20	57	0	88
OTU_161	0	0	0	45	29	66
OTU_162	0	48	16	0	0	0
OTU_163	0	8	12	0	0	51
OTU_164	14	0	0	6	7	31
OTU_165	6	0	38	0	0	0
OTU_166	0	9	10	0	0	0
OTU_167	0	0	0	0	0	45
OTU_168	0	0	28	0	0	46
OTU_169	0	0	0	0	0	0
OTU_170	0	0	0	28	0	24
OTU_171	0	0	0	0	5	24
OTU_172	24	0	0	4	0	9
OTU_173	0	0	0	0	0	0
OTU_174	10	0	0	0	12	3
OTU_175	0	0	0	0	0	0
OTU_176	0	0	0	0	0	0
OTU_177	0	0	0	0	0	10
OTU_178	0	6	5	0	0	0
OTU_179	0	0	0	0	0	58
OTU_180	7	10	0	0	0	8
OTU_181	0	0	0	0	0	36
OTU_182	0	11	8	14	0	26
OTU_183	0	0	0	19	0	18
OTU_184	0	0	0	0	7	10
OTU_185	0	0	0	0	0	0
OTU_186	0	0	0	0	0	0
OTU_187	0	0	30	0	0	11
OTU_188	0	0	7	0	0	0
OTU_189	0	0	0	0	4	19
OTU_190	0	0	0	0	0	0
OTU_191	0	0	0	10	0	11
OTU_192	0	0	0	0	0	0
OTU_193	0	6	0	0	0	68
OTU_194	0	0	0	15	0	17
OTU_195	13	0	0	0	0	0
OTU_196	0	0	0	0	0	0
OTU_197	0	0	4	0	0	0
OTU_198	0	15	0	0	2	7
OTU_199	0	0	0	0	0	0
OTU_200	0	0	0	15	0	0
OTU_201	10	0	6	0	0	0
OTU_202	0	0	12	0	0	0
OTU_203	0	0	23	0	0	7
OTU_204	0	0	0	0	0	12
OTU_205	0	0	0	0	6	28
OTU_206	0	0	0	0	0	0
OTU_207	0	0	0	0	0	0
OTU_208	12	0	0	0	0	0
OTU_209	0	0	0	0	0	0
OTU_210	0	23	11	0	14	12
OTU_211	0	0	0	0	0	0
OTU_212	0	0	0	11	4	10
OTU_213	0	0	0	0	0	0
OTU_214	10	0	0	0	0	7
OTU_215	0	0	0	0	0	0
OTU_216	0	0	0	0	0	0
OTU_217	0	0	0	0	0	12
OTU_218	18	0	0	0	0	0
OTU_219	0	0	0	0	0	0
OTU_220	0	0	0	0	0	0
OTU_221	0	0	0	14	0	0
OTU_222	0	0	0	0	0	0
OTU_223	0	5	0	0	0	0
OTU_224	18	0	0	0	0	0
OTU_225	0	14	6	0	0	0
OTU_226	0	8	11	0	0	15
OTU_227	0	0	0	0	0	0
OTU_228	0	0	0	0	0	0
OTU_229	0	0	0	15	0	0
OTU_230	0	0	48	0	0	0
OTU_231	0	0	0	0	0	0
OTU_232	0	0	0	0	0	0
OTU_233	0	0	0	0	0	0
OTU_234	0	3	0	0	0	0
OTU_235	0	0	0	0	0	0
OTU_236	0	0	0	0	0	12
OTU_237	0	0	0	15	0	29
OTU_238	0	0	0	0	0	0
OTU_239	12	0	0	0	0	0
OTU_240	0	31	0	0	0	0
OTU_241	0	0	0	6	0	0
OTU_242	0	0	0	0	0	0
OTU_243	0	8	6	0	0	0
OTU_244	0	0	0	0	0	13
OTU_245	0	0	0	0	22	2
OTU_246	0	0	0	0	0	0
OTU_247	0	0	0	0	0	11
OTU_248	0	0	6	0	0	22
OTU_249	0	0	0	6	0	9
OTU_250	0	0	0	10	8	15
OTU_251	0	0	0	0	0	0
OTU_252	0	0	0	0	0	0
OTU_253	0	0	0	0	0	0
OTU_254	0	0	11	0	0	6
OTU_255	0	0	7	8	10	14
OTU_256	0	0	0	0	0	0
OTU_257	0	0	0	0	0	0
OTU_258	0	0	0	9	0	0
OTU_259	0	0	0	0	0	0
OTU_260	0	0	0	14	0	11
OTU_261	0	0	0	0	0	45
OTU_262	0	0	0	0	0	0
OTU_263	3	0	0	0	0	0
OTU_264	0	0	0	0	0	0
OTU_265	0	0	0	0	0	22
OTU_266	0	0	0	0	0	57
OTU_267	0	0	0	0	0	0
OTU_268	0	0	0	0	32	23
OTU_269	0	4	0	0	0	0
OTU_270	0	0	4	0	0	0
OTU_271	0	0	0	0	0	0
OTU_272	0	0	0	0	0	0
OTU_273	0	0	0	0	0	0
OTU_274	0	0	0	0	0	53
OTU_275	6	0	0	0	0	0
OTU_276	0	0	0	11	0	0
OTU_277	0	0	0	0	0	0
OTU_278	0	20	0	0	0	0
OTU_279	0	0	0	0	0	10
OTU_280	0	0	0	0	0	11
OTU_281	0	7	0	0	0	0
OTU_282	0	0	0	0	0	7
OTU_283	0	0	0	9	0	28
OTU_284	8	0	0	0	0	0
OTU_285	0	0	0	0	0	46
OTU_286	0	0	0	0	0	0
OTU_287	0	0	0	0	0	0
OTU_288	8	0	0	6	0	16
OTU_289	0	0	0	0	4	0
OTU_290	0	0	0	0	13	0
OTU_291	0	0	0	0	0	0
OTU_292	0	0	0	10	0	10
OTU_293	8	0	0	0	0	0
OTU_294	6	0	0	0	0	0
OTU_295	0	0	0	0	0	0
OTU_296	0	0	0	0	0	0
OTU_297	0	0	0	0	0	0
OTU_298	0	0	0	0	0	0
OTU_299	0	0	0	10	0	5
OTU_300	0	5	6	0	0	0
OTU_301	0	0	0	0	0	0
OTU_302	0	0	20	0	0	0
OTU_303	0	0	6	0	0	0
OTU_304	0	0	0	0	0	0
OTU_305	0	0	0	16	0	13
OTU_306	0	0	0	0	0	7
OTU_307	0	8	11	0	0	9
OTU_308	0	0	6	0	0	0
OTU_309	0	0	0	0	0	0
OTU_310	0	0	0	8	7	8
OTU_311	0	0	0	0	0	18
OTU_312	0	0	0	0	0	0
OTU_313	0	0	0	0	11	0
OTU_314	18	0	0	0	0	0
OTU_315	0	0	0	0	0	0
OTU_316	0	0	0	0	0	0
OTU_317	0	0	0	0	0	0
OTU_318	0	0	0	0	7	0
OTU_319	0	0	0	0	0	0
OTU_320	0	0	0	0	0	0
OTU_321	0	0	0	0	0	0
OTU_322	0	0	0	0	0	0
OTU_323	0	0	0	18	0	0
OTU_324	0	0	0	0	0	0
OTU_325	0	0	7	0	0	0
OTU_326	0	0	0	0	0	0
OTU_327	0	0	0	6	5	5
OTU_328	0	0	0	0	0	0
OTU_329	0	0	0	0	0	0
OTU_330	0	0	0	2	0	0
OTU_331	0	0	0	0	0	0
OTU_332	0	14	0	0	0	0
OTU_333	0	0	0	0	0	0
OTU_334	0	0	0	0	0	26
OTU_335	0	0	0	0	0	5
OTU_336	0	0	0	0	0	0
OTU_337	0	0	0	0	0	0
OTU_338	0	0	0	0	0	15
OTU_339	0	0	0	0	0	0
OTU_340	0	0	0	0	0	0
OTU_341	0	0	0	0	7	0
OTU_342	0	0	0	0	0	11
OTU_343	0	0	0	0	0	0
OTU_344	0	0	0	0	0	0
OTU_345	0	0	0	7	0	0
OTU_346	0	0	0	0	0	0
OTU_347	0	0	0	0	0	0
OTU_348	0	0	0	0	0	0
OTU_349	0	0	0	0	22	0
OTU_350	0	0	0	0	0	0
OTU_351	0	0	0	0	0	0
OTU_352	0	0	0	0	4	0
OTU_353	0	0	0	0	0	0
OTU_354	0	0	0	0	0	0
OTU_355	0	0	0	0	0	0
OTU_356	0	0	0	0	0	0
OTU_357	0	0	0	0	0	0
OTU_358	0	0	0	0	0	0
OTU_359	0	10	0	0	0	0
OTU_360	0	0	0	0	0	0
OTU_361	0	0	0	0	0	0
OTU_362	0	0	0	0	0	0
OTU_363	0	0	0	0	0	0
OTU_364	0	0	0	0	0	0
OTU_365	9	0	0	0	0	0
OTU_366	0	0	0	0	0	0
OTU_367	0	0	0	0	0	0
OTU_368	2	0	0	0	0	0
OTU_369	0	0	0	0	0	3
OTU_370	0	0	0	0	0	0
OTU_371	0	0	0	0	0	0
OTU_372	0	8	0	0	0	0
OTU_373	0	0	0	0	0	16
OTU_374	0	0	0	0	0	7
OTU_375	0	0	0	0	10	0
