ID	TCGA_ES_A2HT_01A	TCGA_DD_A1EL_01A	TCGA_EP_A3RK_01A	TCGA_DD_A11D_01A	TCGA_DD_A11B_01A	TCGA_DD_A114_01A	TCGA_DD_A116_01A	TCGA_DD_A1EI_01A	TCGA_BC_A10U_01A	TCGA_G3_A3CH_01A	TCGA_BD_A2L6_01A	TCGA_BC_A10W_01A	TCGA_DD_A119_01A	TCGA_BC_A10Y_01A	TCGA_DD_A1EH_01A	TCGA_BC_A110_01A	TCGA_EP_A12J_01A	TCGA_EP_A26S_01A	TCGA_FV_A23B_01A	TCGA_FV_A3I1_01A
class	HepC	HepB	Alcohol	NAFLD	NAFLD	HepC	HepB	HepB	Alcohol	HepB	Alcohol	HepB	HepB	Alcohol	HepB	Alcohol	HepC	Alcohol	HepC	Alcohol
ALB213	14.805	12.244	13.647	14.710	15.205	13.810	13.832	15.319	14.170	15.271	14.727	13.232	14.665	14.775	15.337	14.681	15.050	13.949	15.379	14.667
H19283120	8.133	7.140	7.480	6.557	10.541	8.535	7.114	14.820	9.168	10.088	9.615	7.770	7.159	8.466	13.839	11.490	7.894	8.391	9.765	12.619
SERPINA15265	14.687	13.182	14.081	13.574	13.952	12.012	13.814	13.923	14.296	12.901	13.806	14.394	14.109	13.333	13.929	13.665	12.479	13.513	14.748	13.908
APOA1335	12.182	10.596	11.667	12.477	12.648	9.641	12.682	13.246	11.185	13.281	14.720	11.742	13.449	12.728	13.406	12.753	11.664	12.080	12.906	12.513
HP3240	14.704	13.698	14.127	13.140	12.495	10.263	13.626	12.968	13.365	13.063	13.801	12.914	14.601	13.065	9.757	13.865	13.171	12.982	12.660	13.652
FGA2243	14.218	12.140	13.466	12.118	12.671	10.545	12.158	12.880	13.318	12.890	12.708	13.523	13.016	14.001	12.311	13.335	12.671	12.505	13.602	13.089
FTL2512	13.467	14.337	13.442	11.641	11.762	12.553	12.634	13.101	13.036	12.222	12.561	13.324	13.848	11.901	12.346	11.652	12.021	12.662	13.345	13.557
APOA2336	14.593	12.803	12.524	12.189	12.761	11.586	14.325	13.668	13.881	12.487	13.394	11.924	14.037	10.994	12.571	11.810	12.820	13.183	13.206	12.689
TF7018	12.348	12.668	12.583	12.574	13.318	11.042	12.965	12.706	13.463	12.826	12.230	12.551	11.994	13.352	12.821	11.774	12.243	13.219	12.665	12.415
GLUL2752	9.935	13.870	12.755	10.177	10.708	9.734	13.045	10.336	12.587	10.049	9.964	11.201	11.380	9.842	10.952	9.114	13.794	14.098	10.064	10.803
CYP2E11571	11.090	10.181	12.826	10.073	11.860	8.731	12.699	10.675	12.282	5.821	6.663	4.943	11.550	4.281	11.619	11.662	12.855	13.687	13.057	7.311
IGF23481	6.548	4.472	5.945	5.978	13.634	7.954	9.592	13.687	6.366	10.777	6.040	6.353	9.531	5.497	13.867	10.045	10.063	8.476	13.539	6.181
FGB2244	13.824	11.735	12.825	11.586	12.201	10.209	10.847	12.177	12.776	12.226	12.272	12.857	12.704	13.699	10.763	12.986	11.725	12.047	13.409	12.430
AHSG197	11.473	12.264	11.209	10.827	12.659	8.957	12.072	12.523	12.768	11.771	11.141	7.074	11.585	11.927	12.316	11.106	11.493	12.497	12.922	11.400
C3718	13.700	11.915	12.902	13.144	13.841	12.585	11.502	12.459	13.425	12.564	13.507	12.389	12.963	13.222	13.725	12.858	12.684	13.354	13.516	13.271
FGG2266	13.543	11.759	12.891	11.072	12.089	10.180	11.222	12.213	12.521	12.158	12.021	13.200	12.755	13.606	11.903	12.835	11.980	11.937	13.026	12.340
RBP45950	13.565	11.020	11.535	12.688	12.808	9.781	12.729	12.148	12.557	12.120	12.147	10.967	12.770	13.051	11.724	11.938	12.520	12.802	12.072	12.425
HPD3242	12.108	11.200	11.195	9.077	11.569	7.136	12.472	9.173	10.893	10.953	7.458	5.911	11.734	10.612	8.833	10.189	11.316	11.820	8.790	10.591
APOC3345	13.489	10.645	10.909	12.425	12.533	8.989	12.354	11.481	11.927	12.280	13.798	11.085	12.581	12.571	11.266	11.902	11.209	13.050	12.205	11.565
ADH1B125	9.568	9.384	11.826	10.141	11.640	9.214	11.727	10.653	10.933	10.104	10.610	9.430	11.006	9.905	10.701	10.800	12.744	12.797	11.068	10.559
A2M2	13.263	12.230	12.155	11.840	11.744	10.473	9.866	12.423	12.190	11.626	9.936	11.819	12.090	9.904	12.850	11.038	9.401	12.049	10.388	11.631
ALDOB229	11.794	8.629	9.022	11.758	12.002	11.432	9.902	11.738	10.021	13.123	12.954	12.909	12.248	12.578	11.343	11.897	9.472	10.260	11.805	10.888
APOE348	13.748	12.254	12.299	11.837	11.576	10.668	12.791	13.191	13.168	12.857	13.386	11.849	13.222	12.704	11.911	11.864	11.610	12.050	12.429	12.922
ORM15004	13.681	11.199	11.310	12.760	11.391	9.997	11.145	12.453	11.317	11.621	12.523	13.135	12.858	12.858	11.465	13.022	11.035	11.669	13.354	11.826
VTN7448	12.942	10.865	12.024	12.681	13.222	11.492	12.464	13.272	11.949	12.522	13.565	12.076	12.491	13.440	13.018	12.206	12.085	12.537	13.474	12.818
C4A720	12.828	12.564	12.826	10.964	12.323	12.055	11.604	12.516	13.042	11.976	12.655	12.882	12.901	12.551	11.990	11.854	12.177	11.136	12.502	12.884
APOB338	11.640	12.694	12.204	12.623	12.860	10.872	12.024	12.953	12.691	12.286	12.413	12.647	11.514	11.591	13.471	11.574	12.383	12.889	13.122	12.530
SERPINA312	13.457	10.269	11.899	11.169	12.066	10.087	10.487	12.376	12.164	11.546	10.281	13.245	11.758	11.543	11.250	12.473	9.397	11.399	12.949	12.123
AMBP259	13.451	12.525	11.148	12.171	12.132	10.598	12.019	12.374	11.902	12.398	13.379	12.258	12.490	13.150	12.082	12.085	12.448	13.097	12.921	12.156
AKR1C11645	10.432	13.395	11.318	9.024	9.689	8.710	11.930	10.317	9.992	10.615	9.719	11.852	11.148	10.168	8.044	9.283	10.359	10.871	10.162	11.615
HRG3273	11.772	6.637	8.529	11.482	12.933	8.520	9.603	12.228	9.515	12.509	11.599	11.712	11.685	12.604	9.264	11.117	10.213	10.645	9.829	11.648
CYP3A41576	9.647	8.254	9.414	7.212	6.829	7.660	12.383	9.297	11.472	7.407	7.938	3.554	9.569	8.314	2.555	11.004	13.061	13.336	0.716	7.009
SCD6319	10.840	11.713	10.901	11.142	11.234	9.096	12.825	13.129	12.424	10.565	10.344	9.869	10.701	8.468	12.093	8.488	12.009	12.020	12.024	12.776
APOC1341	13.021	12.295	11.558	11.143	11.592	9.116	12.971	12.482	12.450	12.414	12.896	11.152	13.261	11.204	10.817	11.519	11.312	12.316	11.552	11.864
AGT183	12.406	11.722	12.048	12.123	12.258	11.005	11.540	12.294	11.442	11.525	12.524	10.637	11.435	11.753	12.700	11.061	11.352	10.968	12.077	11.954
CLU1191	12.404	11.220	12.192	12.526	12.886	12.185	12.146	12.586	12.057	12.329	12.816	12.753	11.243	13.025	13.160	11.634	12.400	12.241	13.116	11.508
APOC2344	13.250	11.883	11.416	11.353	11.949	8.113	12.035	12.201	12.004	11.530	12.209	11.058	12.835	11.260	11.804	10.980	10.924	11.419	12.110	11.373
FN12335	11.340	12.741	12.359	12.191	12.455	12.204	11.593	12.875	12.441	12.040	12.309	13.249	11.837	11.633	12.343	10.980	12.874	12.373	13.088	13.063
ITIH23698	10.742	12.485	10.738	11.592	11.527	8.813	11.019	12.004	11.009	11.762	11.910	11.495	10.745	11.713	12.644	10.478	11.256	12.288	12.226	11.813
TTR7276	12.790	10.492	10.895	11.084	11.089	8.960	11.316	11.289	9.799	11.258	13.244	10.507	11.969	12.439	8.931	11.331	11.503	10.986	10.495	11.559
CRP1401	13.190	7.031	11.666	6.479	10.697	5.687	9.584	11.579	12.606	9.479	9.732	9.157	11.555	8.240	7.107	12.051	3.755	4.396	8.416	11.942
