SampleID_UK,Subject,Corneometer,Alloprevotella,Propionibacterium,Fusobacterium,family,Veillonella,Brevundimonas,Kytococcus,unresolved,Anaerococcus,Rhizobium,Staphylococcus,Brevibacterium,Selenomonas,Corynebacterium,Pantoea,Eubacterium,Porphyromonas,Streptococcus,Coprococcus,Proteus,Prevotella,Rhodococcus,Lactobacillus,Lachnospiraceae_[G],Anoxybacillus,Acinetobacter,Escherichia,Pasteurella,unresolved,Actinomyces,Catonella,Nocardioides,Agrobacterium,Micrococcus,Capnocytophaga,Finegoldia,Enterococcus,Pseudomonas,Leptotrichia,Alistipes,Synergistetes_[G],Klebsiella,Clostridium,Gordonia,Unclassified_Flavobacteriaceae,Gemella,Azospira,Erysipelatoclostridium,Bacillus,Rhodopseudomonas,Peptoniphilus,Mesorhizobium,Flavonifractor,Bacteroides,Sphingobacterium,TM7_[G-1],Dorea,Ureaplasma,Roseburia,Haemophilus,Peptoniphilaceae_[G-3],Jonquetella,Filifactor,Neisseria,Ruminococcaceae_[G-3],Mycoplasma,Leuconostoc,Kluyvera,Peptostreptococcaceae_[XI][G-9],unresolved,Ochrobactrum,Parvimonas,Alteromonas,Clostridiales_[G],Eikenella,Stenotrophomonas,Bergeyella,Alphaproteobacteria,Enhydrobacter,Alloiococcus,Kocuria,Bergeyella,Sphingomonas,Lachnospiraceae_[G-3],Paracoccus,Aggregatibacter,Bosea,Dialister,Thermus,Enterobacter,Treponema,Granulicatella,Faecalibacterium,Peptostreptococcus,Carnobacterium,Turicibacter,Arthrobacter,Exiguobacterium,Solobacterium,Parabacteroides,Holdemanella,Bradyrhizobium,Blautia,Campylobacter,Stomatobaculum,TM7_[G-6],Nocardiopsis,Acidaminococcus,Psychrobacter,Kingella,Methylobacterium,Sanguibacter,Bacteroidetes_[G-7],Deinococcus,Atopobium,Facklamia,Rickettsiella,Aerococcus,Tsukamurella,Megasphaera,Rothia,Sneathia,Lacnoclostridium,Lachnospiraceae_[G-9],Lachnospiraceae_[G-7],Lactococcus,Calycanthus,Geobacillus,Mobiluncus,Shewanella,Clavibacter,Actinobaculum,order,Ruminococcaceae_[G-1],Helicobacter,family,Odoribacter,unresolved,Tissierella,Vibrio,Afipia,Anaeroglobus,Pseudoclavibacter,Peptoclostridium,Dechloromonas,Macrococcus,Turicella,Erwinia,Actinomycetales,Defluvibacter,Microbacterium,Patulibacter,Citrobacter,Anoxybacillus,Eremococcus,Lachnospiraceae_[G-2],Aeromonas,Serratia,Methylobacterium,Janibacter,Yersinia,Abiotrophia,Dolosigranulum,Caulobacter,Peptostreptococcaceae_[XI][G-1],Tannerella,Collinsella,Arsenicicoccus,Fastidiosipila,Brachybacterium,Oribacterium,Flavobacterium,Pinus,Chryseobacterium,Comamonadaceae_[G],Manihot,Blastococcus,Dermacoccus,Lachnoanaerobaculum,Moraxella,Pseudoxanthomonas,Polaromonas,Xanthomonas,TM7_[G-3],Tatumella,TM7_[G-5]
0,59,51.3,11.65872719,28.34528049,12.87014182,0.245926277,15.62087277,0,0,0.013662571,0,0,555.160353,0,0.031879332,12.2188926,0,0,0.655803405,39.61234732,0,0,67.13787356,0,0.013662571,0,0,0.218601135,0,0,0,7.892411808,0,0,0,12.18701327,3.893832715,0.009108381,0,0.00455419,12.41472279,0,0,0,0,0,0,4.658936688,0,0,75.53580049,0,0,0,0,0,0,0.687682737,0,0,0,5.701846269,1.830784505,0,0,25.75394621,0,0,0,0,0,0,0,11.32171711,0,0.068312855,0.00455419,0,0.00455419,0,0.154842471,0,0.459973221,0,0,0,0,0,0,4.230842798,0,0,0.009108381,11.17142883,0,0.400768747,0,0,0,0,0.956379965,0,0,0,0,0.036433522,0,0.988259297,0,0,0,0.869850349,0,0,0,0,0.00455419,0,0,0,0,0,0.919946443,0,0,0,0,0,0,0,0,0,0,0,0.00455419,0.245926277,0,2.896465037,0,0,0.505515124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.709743235,0,0,0,0,0.072867045,0,0,0.00455419,0,0,0.018216761,0,10.02377287,0,0.44175646,0,0,0,0,0,0
111,60,25,0.024873972,103.6249668,0.04145662,0.008291324,4.037874768,5.994627222,5.936587954,0.008291324,6.193618997,0,228.7078801,0,0,26.64002388,0,0,0.198991775,32.71756434,0,0,51.87881401,0,225.5240117,0,0,15.04875298,0.04145662,0,0,7.263199788,0.008291324,0,0,14.3605731,0.016582648,37.26120987,0.008291324,2.512271159,0.049747944,0,0,0,0,0.514062085,0,11.61614487,0,0,3.167285752,0,7.20516052,0,0,0.729636508,0,0,0,0,0,2.089413638,6.624767843,0,0,1.019832847,0,0,0,0,0,0,0,4.966503051,0,0.223865747,0,0.008291324,0,1.119328734,46.7547758,0,8.946338551,0.257031043,0,0,0,0,0,4.394401698,0,0,0,3.888630937,2.155744229,0,0,0,0,1.334903157,0,0,0,0,0,7.652892014,0,0,0,0,0,0,0.323361634,0,0,0,13.33244893,0,0,0,0,0,4.742637304,0,0,0,0,3.134120456,0.008291324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1103741,0,0,0,0,0,0,0.008291324,0,0,0,2.860506766,0,0,0,0,0,0,0,0,0,0,0,0,0.547227381,0,0,0.016582648,0,73.27042982,0,2.893672062,0,0,0,0,0,0.008291324
201,60,26.1,0,118.6254742,0,0.006128615,1.231851638,0.116443687,0.28804491,0,0,0,190.9982901,0,0,71.02452059,0.006128615,0,2.353388205,26.8801059,0,0,30.64307558,0,221.7149091,0,0,7.709797817,0,0,0,4.020371517,0,0,0,15.29702333,1.02960734,25.48891027,0,1.550539625,0,0,0,0,0,0,0,11.96918532,0,0,0.404488598,0,10.90893491,0,0,0,0,0,0,0,0,0.122572302,3.474924771,0,0,5.000949935,0,0,0,0,0,5.080621932,0,0,0,0.061286151,0,5.215451464,0.998964264,6.386016952,63.93984151,0,0.349331062,0,0.612861512,0,0,0,0,0.006128615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006128615,0,0,0,0,0,0.030643076,0,0,0,0,6.594389866,0,0,0,0,0,7.538196594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01225723,0,0.030643076,0,0,0,0,0,0,0,0,0,1.691497772,0.042900306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006128615,0,0,0,0,0,0,0,0,0.006128615,0.183858454,0,130.6375598,0,17.53396785,0,0,0.006128615,0,0,0
212,61,46.9,0.039258354,70.51361143,8.277904277,2.820993124,110.5403071,2.282592846,31.19917445,0.970242168,1.104842238,0.291633484,56.68906262,0,1.873184301,23.25216201,0.515966933,0,1.418909066,46.62770742,0,0,86.38520297,0.521575269,96.52507487,0,0,3.202359988,0,0,0.185075096,18.61967629,0,0,0,69.59945263,5.226969367,6.875820219,0,0.706650365,13.9927989,0,0,0,0.185075096,14.30686573,0,2.61909302,0,0,26.39843864,0,0,0,0,1.194575617,0,0.039258354,0,0,0,7.862887396,0,0,0,5.641986248,0,0,0,0,1.59276749,0,0,0.005608336,0,0.005608336,3.039718237,0.667392011,0.140208406,0.291633484,8.025529147,0,0.336500174,0,0.437450226,0.443058562,14.9686494,0,0,1.811492603,0,0,0,1.789059258,0.050475026,1.615200835,0,0,0,1.217008962,0.499141925,1.553509136,0.022433345,0,0,0.056083362,2.428409588,0,0,0,0,1.418909066,0,0,0,0,0.975850504,0,0.914158806,0,0,0.151425078,6.26451157,0,1.463775756,0,0,0,0,0,0,0,0.403800209,0.415016881,1.188967281,0,0,1.435734075,0,0.117775061,0,0,0,0,0,0,0,0,0,0,0.185075096,0,0,0,0,0,0,0,0.022433345,0,0.005608336,0.173858423,0,0,0.13460007,0,0.005608336,0.168250087,0.016825009,0,0,7.077720323,0.08973338,0,0,0,0.68421702,0.611308649,0,2.624701356,0.185075096,7.526387222,0,0,0,0.224333449,0,0
223,62,32.9,0.003895173,59.90386713,0.019475866,0.007790346,0.845252563,0,0,0.397307656,0,0,697.5281231,0,0.031161385,104.6827771,0,0,0.229815213,10.27546664,0,0,4.611884952,9.940481755,3.264155059,0,0,1.725561684,0,0,0,0.11296002,0,0,2.00990932,1.452899567,0.015580692,6.185534885,0,6.275123867,0.031161385,0,0,0,0,0,0,0.222024867,0,0,0.003895173,0.303823502,0,0,0,0,0,0.054532423,0,0,0,0,0,0,0,0.124645539,0,0,0,0.11296002,0,0,0,0,0,0,0,0.17528279,1.145180892,0.303823502,2.422797669,0,1.667134087,0,0.716711851,0,0.253186252,2.948646038,0.631018042,0,0,0.44015456,0,0.751768409,0,0,0,0,0,0,0,0,0,0,0,0.023371039,0,0,0,0,0,0,0.019475866,0,0,0,0,1.273721604,0,0,0.296033156,0,1.998223801,0,0,0,0,0.354460752,0.003895173,0,0,1.667134087,0.806300832,0.011685519,1.324358855,0,0,0.007790346,0,9.621077561,0.101274501,0,0,0,0,0,0,0,0,0.412888349,7.163223334,0,0.171387616,1.121809853,0,0,0,0,0,0.027266212,0.167492443,0.003895173,0,0,0,0,0,0.003895173,0,0,0.015580692,0,0.003895173,0,0.541429061,0,0,0.038951731,0,5.628525132,0.007790346,15.19896544,0,0,0.592066311,0,0,0
234,62,33.2,0.02781003,14.24568771,0.111240119,2.961768162,0.730013279,0,0,0.1877177,0,0,804.4190137,0,0,65.80548275,0,0,0.048667552,40.06730027,0.006952507,0,0.125145134,0.111240119,10.70686143,0,0,0.841253398,0,0,0,0.792585846,0,0,0.118192626,3.031293236,0.013905015,1.411359007,0.660488205,2.440330105,0.451912982,0,0,0,0.590963131,0,0,5.937441338,0,0,0.111240119,0,1.327928918,0,0,0,0,0,0,0,0,1.022018591,0,0,0,0.987256054,0,0,0.180765193,0.055620059,0,0,0.006952507,0,0,0.020857522,0,0,0,0,3.789116545,0.090382596,1.015066084,0.125145134,1.244498829,0,0.410197938,0,0,0.013905015,0,1.015066084,0,0.785633339,0,0.146002656,0,0,0.194670208,0.062572567,0.006952507,0,0,0,0,0.041715045,0.006952507,0,0,0,0,0.02781003,0,0,0,0,0.090382596,0,0,0.006952507,0,0,5.673246056,0,0,0,0,0.1877177,0.006952507,0,0,0.006952507,0.521438057,0,2.892243087,0,0,0,0,4.88066021,0,0,0.006952507,0,0,0,0,0.159907671,0,0.194670208,1.800699422,0,0,0.020857522,0,0,0,0,0.076477582,0.013905015,0,0,0,0,0,0,0,0,0,0,0,0.076477582,0.006952507,0,0,0,0.222480237,0.465817997,0,4.115884394,0,5.061425403,0,0,0.118192626,0,0,0
245,63,36.3,2.749504059,2.968927022,7.733539919,2.901756727,131.3940523,0,0,0.067170295,0.550796416,0,180.8537792,0.089560393,1.025466498,11.09205465,0.438845925,0,1.724037562,238.3246833,0,0,144.5862982,0.022390098,28.8653146,0,0,0.291071277,0.035824157,0,0.156730687,26.13820064,0.882169869,0,0,0.783653437,2.852498511,4.925821605,0,1.271757578,19.70776444,0,0,0,0,0.326895434,0,4.661618446,0,0,90.43808466,0,1.603131031,0,0,0,0,2.579339313,0,0,0,6.690161343,0.528406318,0.00447802,0.044780196,16.54628257,0,0,0,0,0,0,0,0.604532651,0,0.008956039,0.367197611,0,0.026868118,0.00447802,0.094038412,0,0.00447802,0.116428511,0,1.24488946,0.00447802,0.420933846,0,0.362719591,0,0,0.241813061,2.230053781,0,1.132938969,0,0,0,0.268681178,0.891125908,0,0,0.035824157,0,1.74642766,1.674779346,0.022390098,0,0,0,1.903158347,0,0,0,0,0.237335041,0,0,0,0,0.37167563,5.561700394,0,0,0,0.022390098,0.094038412,0,0,0.25524712,0,0.00447802,1.455356383,0.882169869,0.358241571,0,1.285191637,0,0,0.12986257,0,0,0.111950491,0,0,0,0,0,0,0.094038412,0,0,0,0,0,0,0.962774223,0,0,0,0,0,0.138818609,0.111950491,0,0.403021768,0.694093044,0,0,0,0.067170295,0.420933846,0,0,0,0.089560393,0.00447802,0,0.12090653,0.223900982,0.147774648,0,0,0,0.080604354,0,0.098516432
256,63,39.4,7.627906977,6.180878553,12.97502153,2.129198966,103.2420327,0.248062016,0,0.675279931,1.192075797,0,206.6770026,0,0.296296296,12.43755383,0,0,2.832041344,224.8062016,0.999138674,0,128.8957795,0,3.086993971,0,0,0.117140396,0,0,0.406546081,31.85529716,1.164513351,0,0,0.082687339,8.151593454,3.390180879,0.261843239,0.351421189,22.12575366,0,0,0,0,0.027562446,0,5.981050818,0,0,80.37209302,0,1.350559862,0,0,0,0,0.909560724,0,0,0,19.11455642,0.689061154,0.199827735,0,20.74074074,0,0,0,0,0.192937123,0,0,0,0,0,1.453919035,0,0,0,0.08957795,0,0.006890612,0.172265289,0,0.275624462,0,0.675279931,0,0.075796727,0,0,0.006890612,10.88027562,0,2.204995693,0,0,0,0,0.544358312,0,0,0,0,1.571059432,2.28079242,1.006029285,0,0,0,1.984496124,0,0,0,0,0.192937123,0,0,0,0,1.977605512,11.8794143,0.365202412,0,0,0,0,0,0,0,0,0,2.832041344,1.150732127,2.363479759,0,1.150732127,0,0,0,0,0,0,0,0,0,0,0,0.165374677,0.006890612,0,0,0,0,0,0,0.399655469,0,0,0.006890612,0,0,0,0,0,0,0.330749354,0,0,0,0.110249785,0.751076658,0,0,0,0,0,0,0.957795004,0.006890612,0,0,0,0.006890612,0.144702842,0,0.006890612
267,64,52.9,3.106154699,62.05518791,22.6871962,0.516962277,33.02644174,0,0,0.048191399,0.002190518,0,229.0865758,0.002190518,8.99864845,27.0375652,0.074477616,0,8.133393792,88.62179171,0,0,51.08288263,0,0.212480258,0,0,0.002190518,0,0,1.881655068,77.67139161,0.002190518,0,0,0.265052693,15.16276645,3.859692933,0,0.788586524,71.70880128,0,0,0.002190518,0,0,0,5.566106551,0,0,82.07652356,0,0,0,0,0.004381036,0,1.546505795,0,0,0,22.91720061,0,0,0.179622486,32.48757429,0,0,0,0,0,0,0,0,0,0,0.492866578,0,0,0,2.692146773,0,1.524600614,0.002190518,0,2.541001023,0,2.595763976,0.477532951,2.659289002,0,0.017524145,0.784205488,5.804873027,0,2.021848228,0,0,0,0,1.518029059,0,0,0,0,6.976800223,2.944056358,0.098573316,0,0,0,6.29116805,0,0,0,0,0.880588286,0,0,0,0,1.117164243,11.69517626,0.087620725,0,0,0,0,0,0,0,0,0,2.55633465,1.627554966,1.051448699,0,0.865254659,0,0,0,0,0,0,0,0,0,0,0,0,0.111716424,0,0,0,0.026286217,0.021905181,0,4.672375157,0,0.002190518,0,0,0,4.109411999,0,0,0.194956113,0.849921032,0,0,0,0,0.619916629,0,5.971352404,0,0,0.497247614,0,0.087620725,0,0.648393364,0,0,0,0,0,3.701975628
1,65,41.7,0.002269859,19.76593214,0.447162222,0.004539718,1.325597654,0,0,0.002269859,1.881713108,0,732.6287691,0.083984783,0.070365629,196.1657542,0.004539718,0,1.13038978,7.331644558,0,0,5.536186092,0,12.76795685,0,0,0.072635488,0,0,0,0.426733491,0,0,0,2.213112521,0.002269859,4.412605889,0,0.299621388,0.013619154,0,0,0,0,0.308700824,0,1.618409464,0,0,0,0,1.729632555,0,0,0.490289543,0,0,0.002269859,0,0,0.964690073,0,0.002269859,0,0.036317744,0,0,0,0,0,0,0.018158872,0.093064219,0,0,0,0.108953232,0,0,0.006809577,0,0.127112104,0,0.013619154,0,0,0,0,0.188398297,0,0,0,0.040857462,0.3155104,0.47440053,0,0,0,0,0,0.006809577,0,0,0,0.705926148,0,0,0,0,0,0.018158872,0,0,0.018158872,0,0.456241658,0.004539718,0,0,0,0.04539718,0.18158872,0.453971799,0.043127321,0,0,0.744513751,0.004539718,0,0,0,0,0,0.524337428,0,0,0,0,0,0.710465866,0,0.208827028,0,0,0,0,0,0,0,0.331399413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024968449,0,0,0.222446182,0,0.2269859,0.33820899,0,0,0,0,0,0,0,0.276922798,0,0.011349295,0,0,0,0,0,0
