OTUs	"BKCM01"	"BKCM02"	"BKCM03"	"BKCM13"	"BKCM14"	"BKCM15"	"BKF01"	"BKF02"	"BKF03"	"BKF13"	"BKF14"	"BKF15"
"OTU_1"	300	203	310	89	158	119	411	406	469	299	232	534
"OTU_2"	165	145	85	264	510	329	470	394	172	169	76	351
"OTU_3"	22	0	0	396	1170	366	0	0	0	417	64	463
"OTU_4"	37	61	61	183	302	190	313	389	322	245	148	249
"OTU_5"	96	59	74	129	388	220	0	0	0	384	266	471
"OTU_6"	97	60	77	106	389	268	0	0	0	346	268	460
"OTU_7"	409	480	400	15	295	448	0	0	0	0	0	0
"OTU_8"	349	211	392	0	0	0	310	179	110	0	0	0
"OTU_9"	0	0	0	263	722	152	0	0	0	122	40	237
"OTU_10"	94	151	146	60	233	195	34	36	0	165	114	273
"OTU_11"	35	44	0	113	184	106	225	213	180	120	80	153
"OTU_12"	27	30	0	105	152	106	199	220	160	118	83	126
"OTU_13"	293	335	303	85	155	101	0	0	0	0	0	0
"OTU_14"	96	54	112	37	61	42	151	160	170	111	62	170
"OTU_15"	0	0	0	98	253	212	0	0	0	208	143	277
"OTU_16"	49	35	54	65	57	21	69	165	106	166	122	255
"OTU_17"	273	318	263	67	136	97	0	0	0	0	0	0
"OTU_18"	89	82	25	16	34	0	165	97	60	195	163	226
"OTU_19"	375	97	131	58	99	161	157	0	0	35	10	25
"OTU_20"	160	94	111	0	42	0	175	307	206	0	0	0
"OTU_21"	168	66	137	0	19	12	197	297	195	0	0	0
"OTU_22"	142	105	156	0	0	0	167	275	202	0	0	0
"OTU_23"	0	0	0	98	201	174	0	0	0	210	124	211
"OTU_24"	92	103	98	0	134	186	0	29	19	0	31	298
"OTU_25"	41	18	0	91	77	157	0	0	7	0	39	534
"OTU_26"	150	85	138	0	0	0	161	261	166	0	0	0
"OTU_27"	0	0	0	116	367	181	0	0	0	102	49	111
"OTU_28"	0	0	0	71	195	172	0	0	0	185	82	218
"OTU_29"	61	70	85	53	179	171	0	0	0	60	12	211
"OTU_30"	0	0	0	93	218	125	0	0	0	125	64	238
"OTU_31"	66	49	104	25	56	146	103	23	40	63	14	55
"OTU_32"	194	291	149	7	53	18	0	0	0	0	0	0
"OTU_33"	10	18	0	69	216	128	23	3	0	43	11	190
"OTU_34"	0	68	68	45	110	77	0	0	0	101	58	117
"OTU_35"	32	65	59	46	57	56	105	122	72	0	0	0
"OTU_36"	8	0	48	14	83	210	0	0	15	0	27	199
"OTU_37"	0	47	70	43	102	79	0	0	0	80	56	125
"OTU_38"	83	30	0	143	14	74	36	34	25	24	10	120
"OTU_39"	22	75	51	43	57	46	90	128	81	0	0	0
"OTU_40"	75	104	87	27	11	44	51	74	23	27	13	53
"OTU_41"	0	0	22	50	0	84	98	43	55	63	0	150
"OTU_42"	77	170	0	0	122	0	85	68	0	0	5	24
"OTU_43"	0	0	0	60	62	52	0	0	0	123	93	122
"OTU_44"	143	69	156	0	0	0	57	53	30	0	0	0
"OTU_45"	72	125	89	52	11	0	10	2	8	87	5	19
"OTU_46"	0	0	0	23	19	26	83	191	11	61	33	31
"OTU_47"	115	0	7	0	12	6	157	83	94	0	0	0
"OTU_48"	48	11	38	0	84	48	56	40	38	27	17	51
"OTU_49"	0	14	0	105	148	105	0	0	0	19	0	31
"OTU_50"	112	25	113	0	0	0	67	26	71	0	0	0
"OTU_51"	0	54	31	54	37	88	0	0	18	51	34	47
"OTU_52"	9	17	15	101	122	72	9	0	14	17	0	27
"OTU_53"	58	37	57	0	0	0	39	47	15	56	0	88
"OTU_54"	72	70	86	0	0	0	77	69	15	0	0	0
"OTU_55"	0	0	0	16	199	170	0	0	0	0	0	0
"OTU_56"	38	96	34	23	58	29	31	43	30	0	0	0
"OTU_57"	38	54	45	14	108	62	0	12	0	0	30	16
"OTU_58"	0	0	0	0	0	0	71	82	84	45	29	66
"OTU_59"	24	34	86	0	59	0	71	46	0	17	0	33
"OTU_60"	0	0	0	86	235	48	0	0	0	0	0	0
"OTU_61"	113	40	105	0	0	0	49	43	18	0	0	0
"OTU_62"	24	32	25	24	53	50	59	47	54	0	0	0
"OTU_63"	0	0	10	40	102	80	9	10	11	22	8	72
"OTU_64"	61	38	62	29	66	27	27	16	16	0	0	21
"OTU_65"	42	24	14	3	6	19	62	97	71	10	2	13
"OTU_66"	126	77	69	5	22	8	0	0	0	19	7	24
"OTU_67"	51	83	58	20	47	43	17	0	28	0	0	0
"OTU_68"	0	0	0	8	81	57	0	0	0	49	70	80
"OTU_69"	0	0	0	94	101	89	0	0	0	10	0	50
"OTU_70"	18	19	23	16	63	26	55	67	54	0	0	0
"OTU_71"	0	0	0	0	307	33	0	0	0	0	0	0
"OTU_72"	67	20	23	0	119	46	0	0	0	0	0	63
"OTU_73"	0	0	0	47	104	98	0	0	0	18	30	39
"OTU_74"	62	76	51	0	116	0	29	0	0	0	0	0
"OTU_75"	44	121	0	0	52	0	73	38	0	0	0	0
"OTU_76"	13	0	153	14	42	15	19	13	50	0	0	7
"OTU_77"	0	0	0	28	108	50	0	0	0	45	32	59
"OTU_78"	165	78	16	20	0	15	0	19	0	0	0	0
"OTU_79"	48	0	10	0	0	55	87	17	0	68	0	16
"OTU_80"	0	0	0	0	174	94	0	0	0	0	0	32
"OTU_81"	0	0	0	20	251	27	0	0	0	0	0	0
"OTU_82"	3	0	3	16	81	39	15	0	6	40	28	56
"OTU_83"	56	0	0	37	53	0	27	0	13	63	0	35
"OTU_84"	0	0	119	0	0	0	0	0	158	0	0	0
"OTU_85"	0	0	0	95	0	114	0	0	0	0	0	68
"OTU_86"	0	0	0	20	138	22	0	0	0	31	9	56
"OTU_87"	0	22	10	22	70	46	0	0	0	19	0	84
"OTU_88"	0	0	0	110	31	83	0	0	0	9	8	22
"OTU_89"	39	73	61	0	0	20	0	32	7	0	0	29
"OTU_90"	0	0	22	37	0	74	0	0	0	56	9	55
"OTU_91"	0	0	20	26	162	43	0	0	0	0	0	0
"OTU_92"	0	32	0	0	0	0	0	0	0	0	87	130
"OTU_93"	0	0	0	6	44	28	0	0	0	46	60	59
"OTU_94"	20	11	23	0	0	0	108	47	30	0	0	0
"OTU_95"	14	25	18	4	52	4	31	0	32	0	37	20
"OTU_96"	0	0	0	77	0	93	0	0	0	12	0	51
"OTU_97"	0	0	0	71	0	98	0	0	0	61	0	0
"OTU_98"	0	0	0	0	216	13	0	0	0	0	0	0
"OTU_99"	0	0	0	0	0	0	48	173	0	0	0	0
"OTU_100"	15	18	10	7	41	25	21	44	39	0	0	0
"OTU_101"	35	71	96	0	0	0	0	10	5	0	0	0
"OTU_102"	0	0	0	23	103	90	0	0	0	0	0	0
"OTU_103"	0	11	8	40	22	76	0	5	0	18	5	30
"OTU_104"	0	0	0	95	0	59	0	0	0	28	0	32
"OTU_105"	22	9	21	6	35	23	16	23	8	24	12	13
"OTU_106"	25	9	12	19	72	0	30	22	12	10	0	0
"OTU_107"	0	0	0	0	122	0	0	0	0	27	0	58
"OTU_108"	0	0	0	0	87	55	0	0	0	0	0	65
"OTU_109"	14	11	16	13	20	27	5	6	10	27	33	23
"OTU_110"	38	31	71	0	0	0	34	30	0	0	0	0
"OTU_111"	0	0	0	0	0	0	179	14	0	0	11	0
"OTU_112"	92	64	11	0	0	0	18	0	17	0	0	0
"OTU_113"	0	4	0	15	28	25	55	38	35	0	0	0
"OTU_114"	0	0	0	0	0	27	0	0	0	0	0	170
"OTU_115"	73	0	0	0	0	0	27	95	0	0	0	0
"OTU_116"	42	31	33	0	2	44	0	10	9	0	22	2
"OTU_117"	21	15	7	61	26	29	15	0	0	0	0	21
"OTU_118"	11	0	52	0	29	18	21	34	20	0	0	0
"OTU_119"	0	0	0	101	1	0	0	0	0	73	0	10
"OTU_120"	0	0	0	0	37	0	0	0	0	35	47	60
"OTU_121"	20	4	27	16	0	18	25	50	16	0	0	0
"OTU_122"	0	8	9	13	8	0	0	0	0	62	0	76
"OTU_123"	30	26	38	0	0	0	24	15	4	5	13	19
"OTU_124"	0	0	0	76	29	12	0	0	0	10	0	43
"OTU_125"	0	0	0	26	0	38	0	0	0	25	0	79
"OTU_126"	0	0	25	0	41	41	0	0	0	0	0	58
"OTU_127"	40	16	23	0	0	10	0	0	75	0	0	0
"OTU_128"	0	0	0	70	0	0	0	0	0	94	0	0
"OTU_129"	50	0	0	23	31	13	0	23	0	0	4	19
"OTU_130"	37	36	31	0	0	0	10	17	29	0	0	0
"OTU_131"	0	0	0	21	86	53	0	0	0	0	0	0
"OTU_132"	0	0	0	0	0	0	0	109	50	0	0	0
"OTU_133"	40	34	59	0	0	0	0	12	13	0	0	0
"OTU_134"	0	0	0	48	0	24	0	0	0	21	18	44
"OTU_135"	0	0	0	17	53	53	0	0	0	0	0	32
"OTU_136"	0	0	0	0	155	0	0	0	0	0	0	0
"OTU_137"	0	0	0	33	30	25	6	0	0	23	0	34
"OTU_138"	16	26	37	17	26	28	0	0	0	0	0	0
"OTU_139"	0	12	16	16	43	18	0	7	0	18	0	15
