id	SRR11961372	SRR11961374	SRR11961376	SRR11961380	SRR11961381	SRR11961383	SRR11961389	SRR11961391	SRR11961392	SRR11961394	SRR11961398	SRR11961400	SRR11961402	SRR11961405	SRR11961407	SRR11961411	SRR11961413	SRR11961425	SRR11961436	SRR11961446	SRR11961448	SRR11961452	SRR11961453	SRR11961457	SRR11961458	SRR11961459
Group	none	adult acne	perioral dermatitis	adult acne	none	perioral dermatitis	adult acne	perioral dermatitis	none	perioral dermatitis	perioral dermatitis	adult acne	adult acne	adult acne	perioral dermatitis	perioral dermatitis	adult acne	none	none	none	none	none	none	none	none	none
OTU_1	11432	150251	17543	11092	7505	65082	43138	50919	5810	79067	12592	114147	135735	86427	81265	58312	31931	6863	5088	5145	13004	10617	8316	5306	3345	6662
OTU_2	0	17275	44749	0	0	0	0	0	0	0	60303	0	0	2214	0	0	87502	0	0	0	0	0	0	0	0	0
OTU_3	0	1300	0	0	0	0	15	19418	4	3799	21053	22616	9	6623	0	36	14522	0	2476	1287	0	0	2614	0	0	0
OTU_4	3823	6145	3975	518	1837	3342	13548	3098	1083	2234	236	21439	97	328	3498	3286	1531	1203	2073	625	490	544	371	335	2614	1640
OTU_5	0	0	0	0	0	0	0	261	0	42	705	8	0	0	0	29037	20	0	0	77	0	0	0	0	48	0
OTU_6	0	0	25	8363	0	0	0	0	0	0	0	0	14915	0	0	0	29	0	0	0	0	0	156	82	0	0
OTU_7	0	0	10837	5209	0	31	0	0	0	0	0	0	116	0	0	56	5586	0	0	0	279	0	0	0	0	0
OTU_8	0	0	10394	3924	0	0	0	0	0	0	0	0	524	0	0	0	6606	0	0	0	275	0	0	0	0	0
OTU_9	0	0	0	0	0	0	0	18622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10	0	0	0	0	0	0	49	17276	0	151	0	0	0	168	0	71	0	0	0	0	632	0	0	0	0	0
OTU_11	0	3667	0	0	0	0	0	0	0	0	4954	3369	0	374	0	0	2455	0	175	659	0	0	38	0	139	0
OTU_12	716	1614	598	0	386	335	2661	419	431	349	76	1525	0	0	767	777	445	277	97	161	154	105	97	0	45	470
OTU_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10443	0	0	722	0	0	0	0	0	0
OTU_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9503	0	0	0	0	0	0	0	0	0	528	0
OTU_15	0	1260	546	0	0	275	1148	0	471	0	0	2922	0	0	0	712	644	0	283	0	155	78	0	0	1077	406
OTU_16	0	0	0	0	0	32	0	2631	0	0	0	0	0	0	0	0	6856	0	0	46	0	0	0	0	122	0
OTU_17	0	9209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_18	198	107	263	0	391	415	773	225	0	126	0	4025	0	0	266	69	0	68	398	0	0	39	0	0	491	0
OTU_19	1738	0	0	0	932	0	0	0	583	0	0	0	0	0	0	0	0	545	891	275	244	311	161	0	1151	829
OTU_20	779	181	1132	0	335	107	272	0	294	163	139	1362	0	0	0	1125	489	0	255	0	0	0	162	0	0	619
OTU_21	0	0	0	0	0	2486	1613	0	93	175	0	518	110	120	0	0	48	80	18	0	0	1569	0	29	8	328
OTU_22	0	0	0	0	0	96	6808	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0
OTU_23	0	0	0	0	35	0	0	2338	0	4062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_24	0	0	0	4220	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0
OTU_25	0	413	0	0	27	0	0	0	0	0	3558	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
OTU_26	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	3896	92	0	0	0	0	0	0	0	0	0
OTU_27	0	0	71	0	0	37	854	0	154	0	0	2156	0	0	0	0	0	0	362	244	0	0	0	0	0	33
OTU_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3730	0	0	0	0	0	0	0	0	0	0
OTU_29	0	0	0	0	0	697	0	560	0	2132	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0
OTU_30	0	0	3309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_31	0	0	767	0	0	0	0	0	0	0	1038	0	0	0	0	0	1490	0	0	0	0	0	0	0	0	0
OTU_32	0	45	50	5	0	1969	39	0	0	0	218	12	217	18	15	0	6	0	0	141	0	0	9	253	60	0
OTU_33	0	17	0	262	0	122	194	1037	31	709	21	51	36	19	37	54	39	0	228	0	0	29	0	16	0	0
OTU_34	0	0	0	2791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_35	41	0	0	42	259	13	0	0	40	2259	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
OTU_36	0	0	0	0	0	838	628	0	0	75	0	445	123	128	0	0	0	0	0	0	0	252	0	0	0	25
OTU_37	0	1065	0	200	0	0	0	368	0	0	0	0	0	0	765	0	0	31	0	0	0	0	0	0	0	0
OTU_38	263	0	340	0	0	101	205	0	132	339	36	24	0	0	0	531	74	0	8	0	0	0	0	0	0	306
OTU_39	0	0	0	2346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_40	0	0	0	0	0	0	0	0	0	0	0	0	2255	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_41	0	0	0	0	45	542	0	0	0	0	797	6	426	0	57	0	0	0	0	0	0	0	0	134	205	0
OTU_42	0	0	0	2161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_43	0	0	67	22	19	933	69	0	0	18	537	8	159	0	25	0	0	0	0	78	0	0	32	90	41	0
OTU_44	0	10	0	0	0	37	1919	0	0	9	0	0	0	36	0	0	11	0	0	0	0	0	12	0	0	0
OTU_45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	873	336	0	0	823	0	0	0
OTU_46	119	0	135	0	69	23	70	0	91	71	7	939	0	32	0	140	57	0	134	0	0	0	0	0	0	51
OTU_47	0	0	0	1924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_48	0	0	1885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_49	0	0	43	227	0	82	129	112	49	0	0	0	10	26	0	269	97	0	0	0	98	690	0	0	0	41
OTU_50	0	219	77	239	0	111	274	224	0	77	40	7	123	0	388	0	61	0	0	0	0	0	0	0	0	0
OTU_51	53	0	54	0	198	147	341	83	0	0	0	297	0	0	0	0	0	68	0	0	136	116	0	0	334	0
OTU_52	0	0	0	0	0	0	0	0	7	0	133	0	408	1182	27	0	23	0	0	8	19	0	7	4	0	0
OTU_53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1794
OTU_54	6	0	0	0	0	56	1713	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_55	0	97	71	0	0	0	99	0	0	0	0	665	0	0	776	0	0	0	0	0	0	57	0	0	0	0
OTU_56	0	0	0	0	0	1569	0	0	0	0	0	80	0	38	0	0	0	0	0	0	0	0	0	0	0	0
OTU_57	0	0	0	0	0	0	321	49	0	0	0	1089	0	0	58	0	0	0	72	20	0	0	0	0	0	0
OTU_58	369	0	0	25	31	144	0	365	0	0	0	37	0	0	0	27	0	157	0	0	0	352	70	0	0	0
OTU_59	484	51	0	0	0	0	665	16	58	0	0	0	0	51	37	0	0	0	0	0	21	0	0	39	36	0
OTU_60	0	0	0	0	0	0	1450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
